ANOPRO,TIPO_COMBUSTIBLE,VALE,NOMBRE_PLACA,UNIDAD_ORGANICA,MES_CONSUMO,KM_RECORRIDO,CANTIDAD_GALONES,PRECIO,TOTAL_CONSUMO,FECHA_INGRESO_VALE,FECHA_SOAT,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
2019,GASOHOL 90,1000410934,EAA-749,S.G DE CONTROL TRANSITOY SEGURIDAD VIAL,201901,4,500,8,13.14,105.12,20190111,20181121,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410154,EUA-840,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,6,13.14,78.84,20190112,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410156,EUA-016,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,200,5,13.14,65.7,20190112,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410155,EUE-829,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,8,13.14,105.12,20190112,20190515,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410157,EUA-018,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,200,4.59,13.14,60.35,20190112,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410164,EUA-912,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,7,13.14,91.98,20190112,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410169,EUA-837,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,8,13.14,105.12,20190112,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410194,EUA-841,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,10,13.14,131.4,20190112,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410201,EUA-021,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,200,5,13.14,65.7,20190113,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410197,EGC-130,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,8,13.14,105.12,20190113,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410199,EUA-918,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,6,13.14,78.84,20190113,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410204,EUA-755,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,200,5,13.14,65.7,20190113,20190617,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000410203,EUE-829,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201901,4,500,8,13.14,105.12,20190113,20190515,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404656,EGZ-715,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,6,900,30.45,13.01,396.13,20190218,20190208,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404698,DGU-882,GERENCIA DE DESARROLLO SOCIAL Y CULTURAL,201902,4,500,16.95,13.01,220.51,20190218,20190303,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404731,EGE-192,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,4,160,36,13.01,468.36,20190219,20181124,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404732,EGE-191,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,4,500,9.91,13.01,128.89,20190219,20180303,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404730,EGE-164,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,6,900,25,13.01,325.25,20190219,20190514,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404726,EGE-184,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,4,160,25,13.01,325.25,20190219,20190514,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404723,EGZ-671,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,6,900,34.74,13.01,452.02,20190219,20190208,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404720,EGZ-680,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,6,900,40,13.01,520.4,20190219,20190208,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404749,F4T-873,GERENCIA DE DESARROLLO SOCIAL Y CULTURAL,201902,4,500,15.66,13.01,203.72,20190219,20190619,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404759,EUE-830,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201902,4,500,6,13.01,78.06,20190219,20200115,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404705,EGB-804,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201902,6,900,25,13.01,325.25,20190219,20190211,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404873,EGZ-680,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201902,6,900,40,13.43,537.2,20190221,20190208,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404869,EGT-672,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201902,4,160,10,13.43,134.31,20190221,20190724,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404861,EGZ-715,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201902,6,900,31.16,13.43,418.43,20190221,20190208,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404864,EGT-599,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201902,4,160,25,13.43,335.75,20190221,20190720,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404983,EGE-184,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201902,4,160,25,13.19,329.75,20190222,20190514,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000404991,PGQ-761,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201902,4,500,7.97,13.19,105.15,20190222,20190926,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420038,EGT-672,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201906,4,160,25,12.99,324.75,20190612,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420040,EAA-672,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201906,4,10.06,12.99,130.72,20190612,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420066,EAB-110,GERENCIA DE INFRAESTRUCTURA Y URBANISMO,201906,5,400,12.18,12.99,158.19,20190612,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420072,EUF-264,SUB GERENCIA DE SERENAZGO,201906,0,5.02,12.99,65.25,20190612,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420079,EUF-275,SUB GERENCIA DE SERENAZGO,201906,0,6,12.99,77.94,20190612,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420087,EUF-265,SUB GERENCIA DE SERENAZGO,201906,0,6,12.99,77.94,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420091,EUF-266,SUB GERENCIA DE SERENAZGO,201906,0,6,12.99,77.94,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420094,EUF-256,SUB GERENCIA DE SERENAZGO,201906,0,6,12.99,77.94,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420098,EUF-252,SUB GERENCIA DE SERENAZGO,201906,0,4.35,12.99,56.47,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420102,EGT-672,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201906,4,160,25,12.99,324.75,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420112,EGB-802,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201906,6,900,21.8,12.99,283.22,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420125,EUF-282,SUB GERENCIA DE SERENAZGO,201906,0,6,12.99,77.94,20190613,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420130,EGZ-680,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201906,6,900,40,12.99,519.6,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420148,EGE-185,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201906,4,500,3.96,12.99,51.49,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420151,EUF-274,SUB GERENCIA DE SERENAZGO,201906,0,6,12.99,77.94,20190613,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420152,PIL-704,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201906,4,500,6.26,12.99,81.29,20190613,20190325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000420168,PIC-575,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201906,4,500,8,12.99,103.92,20190613,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000411787,EUE-825,SUB GERENCIA DE SERENAZGO,201904,4,500,7,15.38,107.66,20190422,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000416659,EUA-842,SUB GERENCIA DE SERENAZGO,201905,4,500,6,15.53,93.18,20190514,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416327,EGB-804,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,6,900,23,12.87,296.01,20190510,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416335,EUF-273,SUB GERENCIA DE SERENAZGO,201905,0,3.94,12.87,50.68,20190510,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416358,EUF-275,SUB GERENCIA DE SERENAZGO,201905,0,6,12.87,77.22,20190510,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416362,PGW-496,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201905,4,500,11.66,12.87,150.05,20190510,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416368,EAA-707,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,4,000,8,12.87,102.96,20190510,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416377,EUF-264,SUB GERENCIA DE SERENAZGO,201905,0,6,12.87,77.22,20190510,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416414,EGE-187,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,3,120,27.11,12.87,348.93,20190511,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416402,INT-210,SUB GERENCIA DE AREAS VERDES Y CONTROL AMBIENTAL,201905,3,120,10,12.87,128.7,20190511,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000416852,EUA-840,SUB GERENCIA DE SERENAZGO,201905,4,500,8,15.53,124.24,20190516,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000416874,EU-0215,SUB GERENCIA DE SERENAZGO,201905,1,200,2,15.53,31.06,20190516,20200519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000416875,EU-0216,SUB GERENCIA DE SERENAZGO,201905,1,200,1.55,15.53,24.09,20190516,20200519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000416876,6530-8F,SUB GERENCIA DE SERENAZGO,201905,1,200,1.91,15.53,29.65,20190516,20200307,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417439,EUF-275,SUB GERENCIA DE SERENAZGO,201905,0,11.43,12.87,147.09,20190523,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417469,EUF-273,SUB GERENCIA DE SERENAZGO,201905,0,5.22,12.87,67.19,20190523,20200327,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417482,EGB-803,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,6,900,25,12.87,321.75,20190523,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380835,EUA-018,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,200,5,13.39,66.95,20181225,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380860,EUA-021,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,200,5,13.39,66.95,20181225,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380867,6531-8F,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,1,200,1.64,13.39,21.97,20181225,20181218,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380877,EUA-018,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,200,3.49,13.39,46.74,20181226,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380911,EUA-842,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,500,5.88,13.39,78.71,20181226,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380937,INT-006,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,1,200,3,13.39,40.17,20181226,20190519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000380956,EB-7423,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201912,1,200,2,13.39,26.78,20181226,20190724,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408055,EUE-829,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,500,6.19,13.39,82.91,20181228,20190515,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408060,EUA-842,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,500,4.39,13.39,58.74,20181228,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408125,EA-2220,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201912,1,200,3,13.39,40.21,20181228,20190211,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408126,EGU-697,S.G DE CONTROL OPERACIONES Y SANCIONES,201912,4,500,10,13.39,20181228,20190526,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408127,EGE-171,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201912,4,500,6,13.39,80.34,20181228,20190519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408130,EW-1848,S.GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLIDOS,201912,1,200,2.52,13.39,33.68,20181228,20190410,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408144,EUA-918,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,500,6,13.39,80.34,20181229,20190905,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408143,EUA-021,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,200,5,13.39,66.95,20181229,20190303,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408145,INT-011,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,1,200,3,13.39,40.17,20181229,20191026,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000408152,EUE-947,S.G DE SERENAZGO PATRULLAJE MUNICIPAL POR SECTOR,201912,4,200,5.87,13.39,78.6,20181229,20191002,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000394731,EGB-220,SUB GERENCIA DE AREAS VERDES Y CONTROL AMBIENTAL,201904,5,200,36.03,12.73,458.71,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000394732,INT-027,SUB GERENCIA DE AREAS VERDES Y CONTROL AMBIENTAL,201904,3,120,30,12.73,381.9,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000394737,INT-023,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201904,3,120,25,12.73,318.25,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000394742,EUE-774,SUB GERENCIA DE SERENAZGO,201904,4,500,5.74,12.73,73.02,20190408,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000394879,PTE-180,SUB GERENCIA DE AREAS VERDES Y CONTROL AMBIENTAL,201904,3,120,20,12.73,254.6,20190409,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000394881,INT-024,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201904,3,120,20,12.73,254.6,20190409,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000411552,EGU-697,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201904,4,500,8,15.38,123.04,20190418,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000411562,EUA-845,SUB GERENCIA DE SERENAZGO,201904,4,500,6,15.38,92.28,20190418,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000416293,EUF-266,SUB GERENCIA DE SERENAZGO,201905,0,6,12.87,77.22,20190510,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417173,INT-025,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,3,120,20,12.87,257.4,20190519,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417174,EGE-186,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,4,160,36,12.87,463.32,20190519,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417177,EGE-182,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201905,6,900,25,12.87,321.75,20190519,20200325,LIMA,LIMA,ATE,150103,20230510
2019,DIESEL B5 S-50,2000417179,EUF-282,SUB GERENCIA DE SERENAZGO,201905,0,6,12.87,77.22,20190519,20200327,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000417406,EUA-845,SUB GERENCIA DE SERENAZGO,201905,4,500,6,15.53,93.18,20190523,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000417417,EU-0220,SUB GERENCIA DE SERENAZGO,201905,1,200,2,15.53,31.06,20190523,20200519,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000417850,EUA-845,SUB GERENCIA DE SERENAZGO,201905,4,500,3.8,15.39,58.41,20190528,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000417865,EUA-016,SUB GERENCIA DE SERENAZGO,201905,4,200,3.04,15.39,46.82,20190528,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429321,EGE-171,S.G DE PATRIMONIO Y SERVICIOS GENERALES,201907,4,500,6,15.86,95.16,20190720,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429324,PGQ-764,SUB GERENCIA DE TRANSITO TRANSPORTE Y VIALIDAD,201907,4,500,6,15.86,95.16,20190720,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429326,EUF-346,SUB GERENCIA DE SERENAZGO,201907,4,500,6,15.86,95.16,20190720,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429328,EW-2343,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201907,1,200,4.95,15.86,78.52,20190720,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GNV,3000008821,EGZ-913,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201907,3,120,35.39,1.6,56.62,20190702,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GNV,3000008830,EGZ-913,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201907,3,120,38.57,1.6,61.71,20190710,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GNV,3000008852,EGZ-913,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201907,3,120,33.31,1.6,53.3,20190715,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GNV,3000008856,EGZ-913,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201907,3,120,36.45,1.6,58.32,20190719,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GNV,3000008858,EGZ-913,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201907,3,120,36.87,1.6,58.99,20190723,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GNV,3000008859,EGZ-913,SUB GERENCIA DE CONTROL OPERACIONES Y SANCIONES,201907,3,120,25.71,1.6,41.14,20190723,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429348,AHJ-818,SUB GERENCIA DE SERENAZGO,201907,4,500,5.87,15.86,93.1,20190721,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429354,EUA-755,SUB GERENCIA DE SERENAZGO,201907,4,200,3.75,15.86,59.54,20190721,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429371,EUF-346,SUB GERENCIA DE SERENAZGO,201907,4,500,4.64,15.86,73.61,20190721,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429372,EUE-836,SUB GERENCIA DE SERENAZGO,201907,4,500,3.39,15.86,53.77,20190721,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429374,EGU-931,SUB GERENCIA DE TRANSITO TRANSPORTE Y VIALIDAD,201907,4,500,6,15.86,95.16,20190721,20200325,LIMA,LIMA,ATE,150103,20230510
2019,GASOHOL 90,1000429386,EW-1848,SUB GERENCIA DE GESTION Y MANEJO DE RESIDUOS SOLID,201907,1,200,3.47,15.86,54.99,20190721,20200325,LIMA,LIMA,ATE,150103,20230510
